ﾇﾑｹ,犇ﾗﾍｹ,ｻﾕ,倏｢ｷ鰓ﾂ2ｵﾑﾇ
1,11,2568,87
16,10,2568,61
1,10,2568,77
16,9,2568,58
1,9,2568,31
16,8,2568,63
1,8,2568,50
16,7,2568,26
1,7,2568,91
16,6,2568,06
1,6,2568,20
16,5,2568,87
2,5,2568,06
16,4,2568,85
1,4,2568,36
16,3,2568,32
1,3,2568,54
16,2,2568,50
1,2,2568,51
17,1,2568,23
2,1,2568,51
16,12,2567,21
1,12,2567,61
16,11,2567,38
1,11,2567,32
16,10,2567,00
1,10,2567,59
16,9,2567,37
1,9,2567,94
16,8,2567,28
1,8,2567,46
16,7,2567,21
1,7,2567,89
16,6,2567,31
1,6,2567,42
16,5,2567,60
2,5,2567,17
16,4,2567,79
1,4,2567,90
16,3,2567,78
1,3,2567,79
16,2,2567,43
1,2,2567,09
17,1,2567,61
30,12,2566,89
16,12,2566,85
1,12,2566,91
16,11,2566,14
1,11,2566,63
16,10,2566,44
1,10,2566,66
16,9,2566,46
1,9,2566,91
16,8,2566,67
31,7,2566,11
16,7,2566,62
1,7,2566,16
16,6,2566,30
1,6,2566,09
16,5,2566,99
2,5,2566,65
16,4,2566,71
1,4,2566,99
16,3,2566,73
1,3,2566,55
16,2,2566,80
1,2,2566,92
16,1,2566,47
30,12,2565,58
16,12,2565,14
1,12,2565,08
16,11,2565,64
1,11,2565,70
16,10,2565,15
1,10,2565,50
16,9,2565,75
1,9,2565,83
16,8,2565,42
1,8,2565,14
16,7,2565,53
1,7,2565,61
16,6,2565,92
1,6,2565,02
16,5,2565,06
2,5,2565,09
16,4,2565,58
1,4,2565,10
16,3,2565,03
1,3,2565,07
17,2,2565,57
1,2,2565,30
17,1,2565,92
30,12,2564,36
16,12,2564,83
1,12,2564,82
16,11,2564,57
1,11,2564,95
16,10,2564,38
1,10,2564,83
16,9,2564,90
1,9,2564,79
16,8,2564,23
1,8,2564,69
16,7,2564,70
1,7,2564,29
16,6,2564,17
1,6,2564,45
16,5,2564,14
2,5,2564,18
16,4,2564,56
1,4,2564,05
16,3,2564,19
1,3,2564,73
16,2,2564,39
1,2,2564,97
17,1,2564,15
30,12,2563,19
16,12,2563,70
1,12,2563,84
16,11,2563,46
1,11,2563,40
16,10,2563,38
1,10,2563,59
16,9,2563,57
1,9,2563,98
16,8,2563,88
1,8,2563,92
16,7,2563,53
1,7,2563,83
16,6,2563,64
1,6,2563,24
1,4,2563,22
16,3,2563,77
1,3,2563,98
16,2,2563,94
1,2,2563,06
17,1,2563,68
30,12,2562,81
16,12,2562,97
1,12,2562,81
16,11,2562,32
1,11,2562,79
16,10,2562,15
1,10,2562,59
16,9,2562,85
1,9,2562,20
16,8,2562,89
1,8,2562,58
16,7,2562,88
1,7,2562,86
16,6,2562,29
1,6,2562,46
16,5,2562,71
2,5,2562,25
16,4,2562,23
1,4,2562,52
16,3,2562,64
1,3,2562,65
16,2,2562,56
1,2,2562,04
17,1,2562,65
30,12,2561,02
16,12,2561,62
1,12,2561,67
16,11,2561,16
1,11,2561,58
16,10,2561,93
1,10,2561,99
16,9,2561,79
1,9,2561,26
16,8,2561,10
1,8,2561,78
16,7,2561,27
1,7,2561,83
16,6,2561,46
1,6,2561,95
16,5,2561,20
2,5,2561,85
16,4,2561,60
1,4,2561,85
16,3,2561,82
2,3,2561,29
16,2,2561,39
1,2,2561,31
17,1,2561,50
30,12,2560,98
16,12,2560,89
1,12,2560,33
16,11,2560,98
1,11,2560,85
16,10,2560,86
1,10,2560,52
16,9,2560,71
1,9,2560,65
16,8,2560,37
1,8,2560,36
16,7,2560,87
1,7,2560,26
16,6,2560,47
1,6,2560,61
16,5,2560,53
2,5,2560,35
16,4,2560,40
1,4,2560,80
16,3,2560,92
1,3,2560,78
16,2,2560,14
1,2,2560,42
17,1,2560,25
30,12,2559,46
16,12,2559,35
1,12,2559,77
16,11,2559,44
1,11,2559,86
16,10,2559,98
1,10,2559,33
16,9,2559,42
1,9,2559,62
16,8,2559,33
1,8,2559,57
16,7,2559,55
1,7,2559,53
16,6,2559,79
1,6,2559,14
16,5,2559,98
2,5,2559,02
16,4,2559,87
1,4,2559,92
16,3,2559,32
1,3,2559,06
16,2,2559,98
1,2,2559,09
16,1,2559,50
30,12,2558,02
17,12,2558,08
1,12,2558,78
16,11,2558,03
1,11,2558,45
16,10,2558,62
1,10,2558,07
16,9,2558,06
1,9,2558,89
16,8,2558,40
1,8,2558,53
16,7,2558,49
1,7,2558,26
16,6,2558,05
2,6,2558,65
16,5,2558,38
2,5,2558,30
16,4,2558,38
1,4,2558,70
16,3,2558,92
1,3,2558,34
16,2,2558,90
1,2,2558,79
16,1,2558,74
30,12,2557,57
16,12,2557,90
1,12,2557,11
16,11,2557,25
1,11,2557,44
16,10,2557,94
1,10,2557,44
16,9,2557,35
1,9,2557,22
16,8,2557,91
1,8,2557,82
16,7,2557,45
1,7,2557,39
16,6,2557,95
1,6,2557,18
16,5,2557,20
2,5,2557,52
16,4,2557,26
1,4,2557,95
16,3,2557,79
1,3,2557,35
16,2,2557,01
1,2,2557,95
16,1,2557,52
30,12,2556,48
16,12,2556,79
1,12,2556,27
16,11,2556,28
1,11,2556,47
16,10,2556,60
1,10,2556,14
16,9,2556,63
1,9,2556,05
16,8,2556,20
1,8,2556,82
16,7,2556,86
1,7,2556,51
16,6,2556,69
1,6,2556,90
16,5,2556,56
2,5,2556,07
16,4,2556,86
1,4,2556,53
16,3,2556,52
1,3,2556,37
16,2,2556,09
1,2,2556,66
16,1,2556,08
30,12,2555,00
16,12,2555,72
1,12,2555,43
16,11,2555,15
1,11,2555,63
16,10,2555,28
1,10,2555,58
16,9,2555,79
1,9,2555,07
16,8,2555,28
1,8,2555,50
16,7,2555,11
1,7,2555,60
16,6,2555,51
1,6,2555,38
16,5,2555,31
2,5,2555,29
16,4,2555,62
1,4,2555,69
16,3,2555,08
1,3,2555,79
16,2,2555,18
1,2,2555,32
16,1,2555,81
30,12,2554,65
16,12,2554,21
1,12,2554,02
16,11,2554,57
1,11,2554,54
16,10,2554,83
1,10,2554,15
16,9,2554,28
1,9,2554,85
16,8,2554,62
1,8,2554,12
16,7,2554,12
1,7,2554,51
16,6,2554,88
1,6,2554,46
16,5,2554,05
2,5,2554,85
16,4,2554,44
1,4,2554,01
16,3,2554,96
1,3,2554,97
16,2,2554,27
1,2,2554,55
16,1,2554,23
30,12,2553,49
16,12,2553,24
1,12,2553,09
16,11,2553,43
1,11,2553,59
16,10,2553,42
1,10,2553,02
16,9,2553,66
1,9,2553,11
16,8,2553,64
1,8,2553,10
16,7,2553,34
1,7,2553,68
16,6,2553,73
1,6,2553,81
16,5,2553,12
2,5,2553,06
16,4,2553,96
1,4,2553,22
16,3,2553,97
1,3,2553,97
16,2,2553,03
1,2,2553,14
16,1,2553,67
30,12,2552,87
16,12,2552,05
1,12,2552,59
16,11,2552,58
1,11,2552,85
16,10,2552,00
1,10,2552,06
16,9,2552,48
1,9,2552,32
16,8,2552,96
1,8,2552,92
16,7,2552,94
1,7,2552,66
16,6,2552,15
1,6,2552,26
16,5,2552,54
2,5,2552,11
16,4,2552,33
1,4,2552,50
16,3,2552,36
1,3,2552,67
16,2,2552,93
1,2,2552,69
16,1,2552,25
30,12,2551,22
16,12,2551,25
1,12,2551,05
16,11,2551,20
1,11,2551,76
16,10,2551,98
1,10,2551,67
16,9,2551,56
1,9,2551,09
16,8,2551,36
1,8,2551,11
16,7,2551,41
1,7,2551,50
16,6,2551,75
1,6,2551,35
16,5,2551,69
2,5,2551,62
16,4,2551,64
1,4,2551,71
16,3,2551,33
1,3,2551,05
16,2,2551,80
1,2,2551,26
16,1,2551,81
30,12,2550,81
16,12,2550,96
1,12,2550,18
16,11,2550,73
1,11,2550,88
16,10,2550,48
1,10,2550,76
16,9,2550,45
1,9,2550,69
16,8,2550,93
1,8,2550,29
16,7,2550,77
1,7,2550,76
16,6,2550,41
1,6,2550,05
16,5,2550,25
2,5,2550,81
16,4,2550,63
1,4,2550,93
16,3,2550,85
1,3,2550,61
16,2,2550,95
1,2,2550,56
16,1,2550,55
30,12,2549,07
16,12,2549,45
1,12,2549,12
16,11,2549,94
1,11,2549,29
16,10,2549,58
1,10,2549,92
16,9,2549,41
1,9,2549,44
16,8,2549,97
1,8,2549,88
16,7,2549,48
1,7,2549,65
16,6,2549,17
1,6,2549,99
16,5,2549,71
2,5,2549,27
16,4,2549,49
1,4,2549,95
16,3,2549,30
1,3,2549,43
16,2,2549,66
1,2,2549,87
16,1,2549,79
30,12,2548,94
16,12,2548,86
1,12,2548,17
16,11,2548,80
1,11,2548,98
16,10,2548,71
1,10,2548,24
16,9,2548,10
1,9,2548,17
16,8,2548,68
1,8,2548,26
16,7,2548,13
1,7,2548,87
16,6,2548,44
1,6,2548,35
16,5,2548,97
2,5,2548,43
16,4,2548,10
1,4,2548,69
16,3,2548,03
1,3,2548,93
16,2,2548,53
1,2,2548,34
16,1,2548,08
30,12,2547,28
16,12,2547,17
1,12,2547,69
16,11,2547,64
1,11,2547,23
16,10,2547,62
1,10,2547,66
16,9,2547,59
1,9,2547,70
16,8,2547,59
2,8,2547,45
16,7,2547,25
1,7,2547,66
16,6,2547,87
1,6,2547,72
16,5,2547,13
2,5,2547,91
16,4,2547,12
1,4,2547,62
16,3,2547,69
1,3,2547,50
16,2,2547,00
1,2,2547,77
16,1,2547,96
30,12,2546,64
16,12,2546,87
1,12,2546,78
16,11,2546,98
1,11,2546,47
16,10,2546,03
1,10,2546,43
16,9,2546,53
1,9,2546,92
16,8,2546,00
1,8,2546,91
16,7,2546,75
1,7,2546,91
16,6,2546,29
1,6,2546,36
16,5,2546,20
2,5,2546,12
16,4,2546,21
1,4,2546,86
16,3,2546,64
1,3,2546,42
17,2,2546,67
1,2,2546,94
16,1,2546,06
30,12,2545,95
16,12,2545,67
1,12,2545,37
16,11,2545,55
1,11,2545,25
16,10,2545,51
1,10,2545,72
16,9,2545,85
1,9,2545,51
16,8,2545,57
1,8,2545,88
16,7,2545,69
1,7,2545,24
16,6,2545,07
1,6,2545,02
16,5,2545,76
2,5,2545,56
16,4,2545,37
1,4,2545,57
16,3,2545,04
1,3,2545,55
16,2,2545,92
1,2,2545,40
16,1,2545,14
30,12,2544,64
16,12,2544,19
1,12,2544,49
16,11,2544,74
1,11,2544,52
16,10,2544,48
1,10,2544,15
16,9,2544,82
1,9,2544,14
16,8,2544,10
1,8,2544,11
16,7,2544,50
1,7,2544,34
16,6,2544,75
1,6,2544,80
16,5,2544,61
2,5,2544,64
16,4,2544,28
1,4,2544,49
16,3,2544,45
1,3,2544,85
16,2,2544,47
1,2,2544,13
16,1,2544,36
30,12,2543,31
16,12,2543,91
1,12,2543,56
16,11,2543,10
1,11,2543,90
16,10,2543,39
1,10,2543,26
16,9,2543,05
1,9,2543,52
16,8,2543,57
1,8,2543,18
16,7,2543,43
1,7,2543,29
16,6,2543,57
1,6,2543,16
16,5,2543,56
2,5,2543,20
16,4,2543,63
1,4,2543,99
16,3,2543,65
1,3,2543,63
16,2,2543,91
1,2,2543,85
16,1,2543,82
30,12,2542,03
16,12,2542,30
1,12,2542,79
16,11,2542,14
1,11,2542,03
16,10,2542,28
1,10,2542,80
16,9,2542,46
1,9,2542,33
16,8,2542,65
1,8,2542,98
16,7,2542,03
1,7,2542,67
16,6,2542,63
1,6,2542,08
16,5,2542,16
2,5,2542,45
16,4,2542,35
1,4,2542,92
16,3,2542,63
1,3,2542,58
16,2,2542,41
1,2,2542,69
16,1,2542,13
30,12,2541,50
16,12,2541,55
1,12,2541,58
16,11,2541,20
1,11,2541,29
16,10,2541,74
1,10,2541,18
16,9,2541,65
1,9,2541,96
16,8,2541,91
1,8,2541,22
16,7,2541,52
1,7,2541,65
16,6,2541,19
2,6,2541,67
16,5,2541,63
1,5,2541,72
16,4,2541,17
1,4,2541,66
16,3,2541,79
1,3,2541,74
16,2,2541,69
1,2,2541,48
16,1,2541,34
30,12,2540,65
16,12,2540,71
1,12,2540,86
16,11,2540,99
1,11,2540,39
16,10,2540,98
1,10,2540,24
16,9,2540,98
1,9,2540,59
16,8,2540,30
1,8,2540,31
16,7,2540,67
1,7,2540,11
16,6,2540,61
1,6,2540,24
16,5,2540,52
2,5,2540,38
16,4,2540,92
1,4,2540,52
16,3,2540,36
1,3,2540,98
16,2,2540,94
1,2,2540,57
16,1,2540,47
30,12,2539,26
16,12,2539,44
1,12,2539,66
16,11,2539,21
1,11,2539,24
16,10,2539,18
1,10,2539,97
16,9,2539,59
1,9,2539,02
16,8,2539,19
1,8,2539,61
16,7,2539,91
1,7,2539,76
16,6,2539,21
1,6,2539,81
17,5,2539,75
2,5,2539,54
16,4,2539,77
1,4,2539,90
16,3,2539,27
1,3,2539,72
16,2,2539,49
1,2,2539,26
16,1,2539,21
30,12,2538,04
16,12,2538,68
1,12,2538,74
16,11,2538,85
1,11,2538,07
16,10,2538,86
1,10,2538,76
